incident_id,source_text_path,output_json_path,provider,model,extracted,extracted_at,valid,validation_errors,error,raw_response_path
eb-160-fieldwood-01-december-2015,data/raw/bsee/text/eb-160-fieldwood-01-december-2015.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/eb-160-fieldwood-01-december-2015.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:41:02.006766+00:00,True,,,
eb-160-fieldwood-03-nov-2015,data/raw/bsee/text/eb-160-fieldwood-03-nov-2015.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/eb-160-fieldwood-03-nov-2015.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:41:16.848827+00:00,True,,,
eb-160-fieldwood-energy-9-dec-2019,data/raw/bsee/text/eb-160-fieldwood-energy-9-dec-2019.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/eb-160-fieldwood-energy-9-dec-2019.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:41:49.876339+00:00,True,,,
eb-165-a-fieldwood-09-may-2015,data/raw/bsee/text/eb-165-a-fieldwood-09-may-2015.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/eb-165-a-fieldwood-09-may-2015.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:42:30.614711+00:00,True,,,
eb-165-a-fieldwood-sd-offshore-24-jan-2016,data/raw/bsee/text/eb-165-a-fieldwood-sd-offshore-24-jan-2016.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/eb-165-a-fieldwood-sd-offshore-24-jan-2016.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:42:42.579250+00:00,True,,,
eb-165-fieldwood-09-may-2018,data/raw/bsee/text/eb-165-fieldwood-09-may-2018.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/eb-165-fieldwood-09-may-2018.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:43:03.144591+00:00,True,,,
eb-602-a-anadarko-petroleum-21-mar-2015,data/raw/bsee/text/eb-602-a-anadarko-petroleum-21-mar-2015.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/eb-602-a-anadarko-petroleum-21-mar-2015.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:43:21.741724+00:00,True,,,
eb-602-anadarko-10-jan-2015,data/raw/bsee/text/eb-602-anadarko-10-jan-2015.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/eb-602-anadarko-10-jan-2015.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:43:39.954515+00:00,True,,,
eb-602-anadarko-10-sep-2022,data/raw/bsee/text/eb-602-anadarko-10-sep-2022.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/eb-602-anadarko-10-sep-2022.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:44:05.678643+00:00,True,,,
eb-602-anadarko-19-sep-2014,data/raw/bsee/text/eb-602-anadarko-19-sep-2014.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/eb-602-anadarko-19-sep-2014.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:44:19.456265+00:00,True,,,
